severity,kind,sku,slug,name,detail,fixedTo
"review","missing-image","34P2D","ebco-ebco-wardrobe-pullout-ironing-board-wpib-4360-at-34p2d","Ebco Wardrobe Pullout Ironing Board, WPIB-4360-AT","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","36F3U","homerun-dongcheng-djz10a-10mm-0-4-electric-drill-300w-36f3u","Dongcheng DJZ10A 10mm (0.4"") Electric Drill, 300W","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","3ARHP","fevicol-fevicol-sh-adhesive-3arhp","Fevicol SH Adhesive","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","3CDSX","asian-paints-asian-paints-trugrip-super-masking-tape-abro-tape-3-4-3cdsx","Asian Paints Trugrip Super Masking Tape ( Abro Tape ), 3/4''","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","3FU76","jaquar-jaquar-bath-tub-spout-with-button-attachment-for-hand-shower-with-wall-flange-3fu76","Jaquar Bath Tub Spout with Button attachment for Hand Shower with Wall Flange","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","3GWGW","homerun-makita-m0900b-540w-angle-grinder-100mm-4-disc-12000-rpm-3gwgw","Makita M0900B 540W Angle Grinder | 100mm (4"") Disc, 12000 RPM","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","3KCNX","homerun-luminous-red-charge-rc-18000st-150ah-short-tubular-inverter-battery-3kcnx","Luminous Red Charge RC 18000ST 150Ah Short Tubular Inverter Battery","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","3NPNU","roff-roff-t01-nca-tile-adhesive-grey-30-kg-bag-3npnu","Roff T01 NCA Tile Adhesive, Grey, 30 Kg Bag","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","unit-mismatch","3NPNU","roff-roff-t01-nca-tile-adhesive-grey-30-kg-bag-3npnu","Roff T01 NCA Tile Adhesive, Grey, 30 Kg Bag","Name says 30Kg but the row is priced PER_KG. Either re-unit it, or the price is for the pack and should be divided by 30. Cheapest variant: 430.00",""
"review","missing-image","3PDUS","hettich-hettich-sensys-8645i-soft-close-hinges-1-set-2-nos-3pdus","Hettich Sensys 8645i Soft Close Hinges, 1 Set (2 Nos)","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","3RV2J","homerun-metal-paste-with-hardener-900gm-3rv2j","Metal Paste with Hardener, 900gm","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
